Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
Manhattan,East Midtown-Turtle Bay,58th Street Library Food Scrap Drop-off,"127 E 58th St, New York, NY 10022",GrowNYC,Year Round,Wednesdays (Start Time: 7:30 AM  - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.gov/compost,105,4,,,,40.76198,-73.9693,18,6735,POINT (-73.9693 40.76198)
Queens,Old Astoria-Hallets Point,NE 21st Street & 31st Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7064,
Brooklyn,Bushwick (West),NW Central Avenue & Hart Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,6937,
Manhattan,East Harlem (North),Carver Community Garden,242 East 124th,Carver Community Garden,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",,111,8,,,,40.802223,-73.934723,25,6805,POINT (-73.934723 40.802223)
Manhattan,Hamilton Heights-Sugar Hill,Maggie's Garden,564 W 149th St,Maggie's Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,109,7,233,1020800058,1000000,40.8285158,-73.9481163,30,6744,POINT (-73.9481163 40.8285158)
Manhattan,Washington Heights (South),Morris-Jumel Community Garden,457 West 162nd Street,NYC Compost Project Hosted by Earth Matter NY,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,112,10,,,,40.8359312,-73.9391906,33,6915,POINT (-73.9391906 40.8359312)
Brooklyn,Greenpoint,Transmitter Park Drop-Off,2 Greenpoint Ave and West Street,North Brooklyn Compost Project,Year Round,Sundays (Start Time: 11:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",nbkcompost.org,301,33,,,,40.7296982,-73.9601997,94,6982,POINT (-73.9601997 40.7296982)
Staten Island,West New Brighton-Silver Lake-Grymes Hill,Olivet Heavenly Harvest,"97 Myrtle Avenue, Staten Island, NY",Olivet Heavenly Harvest,Closed During Winter,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",olivetheavenlyharvest.com,501,49,,,,40.63034,-74.11616,120,7174,POINT (-74.11616 40.63034)
Manhattan,Harlem (South),SE West 118 Street & Lenox Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,28,6799,
Manhattan,Harlem (South),SW St. Nicholas Avenue & West 118 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,28,6800,
Bronx,Throgs Neck-Schuylerville,SW 	Throgs Neck Expressway & Randall Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,,,,,,45,7128,
Queens,Queensbridge-Ravenswood-Dutch Kills,Socrates Sculpture Park,"Broadway & Vernon Blvd, Queens, NY 11106",Socrates Sculpture Park,Year Round,Every day (Start Time: 9:00 AM - End Time:  Dusk),"Not accepted: meat, bones, or dairy",socratessculpturepark.org,401,22,,,,40.768389,-73.937,114,7042,POINT (-73.937 40.768389)
Manhattan,Financial District-Battery Park City,SmartComposting: Rector & Washington Streets,Rector and Washington Streets (Southeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70807,-74.01437,1,6712,POINT (-74.01437 40.70807)
Brooklyn,Crown Heights (North),NE Rochester Avenue & Bergen Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,41,,,,,,77,6844,
Queens,Astoria (East)-Woodside (North),Astoria Pug: Steinway,"38-12 30th Ave, Queens, NY 11103",Astoria Pug,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/astoriapug/?hl=en,401,22,,,,40.764056,-73.915722,114,7031,POINT (-73.915722 40.764056)
Bronx,Parkchester,SE Purdy Street & East Tremont Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,7010,
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Red Hook Community Farm,103 Otsego St,NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,306,38,,,,40.6726299,-74.0103773,76,6780,POINT (-74.0103773 40.6726299)
Bronx,Mount Eden-Claremont (West),New Settlement Community Center,"1501 Jerome Ave, Bronx, NY 10452",New Settlement's Community Food Action,Year Round,"Thursday, Friday, Saturday (Start Time: Thursday/Friday 1:00 PM, Saturday 10:30 AM - End Time:  Thursday/Friday 5:00 PM, Saturday 12:30 PM)","Not accepted: meat, bones, or dairy",NewSettlement.org/food,204,16,,,,40.8432747,-73.9162121,44,6999,POINT (-73.9162121 40.8432747)
